Month,LTOTL
12/8/37,12390.848
12/15/37,12582.238
12/22/37,12456.863
12/29/37,12511.142
1/5/38,12491.531
1/12/38,12472.414
1/19/38,12532.554
1/26/38,12434.302
2/2/38,12452.165
2/9/38,12405.149
2/16/38,12661.49
2/23/38,12466.309
3/2/38,12568.539
3/9/38,12519.948
3/16/38,12773.788
3/23/38,12572.903
3/30/38,12559.115
4/6/38,12557.933
4/13/38,12731.769
4/20/38,14041.01
4/27/38,13985.35
5/4/38,13996.008
5/11/38,13963.424
5/18/38,14020.636
5/25/38,13949.018
6/1/38,13978.058
6/8/38,13920.944
6/15/38,14088.038
6/22/38,13965.737
6/29/38,13930.148
7/6/38,13961.577
7/13/38,14054.484
7/20/38,14009.422
7/27/38,13961.404
8/3/38,13948.903
8/10/38,13907.561
8/17/38,13985.514
8/24/38,13906.161
8/31/38,13918.965
9/7/38,13898.595
9/14/38,14132.371
9/21/38,14087.212
9/28/38,14181.675
10/5/38,14337.001
10/12/38,14373.596
10/19/38,14660.042
10/26/38,14588.095
11/2/38,14646.375
11/9/38,14596.699
11/16/38,14953.286
11/23/38,14872.513
11/30/38,14950.838
12/7/38,14999.798
12/14/38,15223.488
12/21/38,15226.798
12/28/38,15169.064
1/4/39,15309.782
1/11/39,15257.089
1/18/39,15414.3
1/25/39,15291.37
2/1/39,15339.192
2/8/39,15411.094
2/15/39,15509.71
2/22/39,15444.607
3/1/39,15582.724
3/8/39,15496.557
3/15/39,15732.961
3/22/39,15663.744
3/29/39,15766.658
4/5/39,15867.336
4/12/39,16102.795
4/19/39,16287.55
4/26/39,16352.155
5/3/39,16450.79
5/10/39,16467.506
5/17/39,16631.835
